,City Name,Country,Latitude,Longitude,Max. Temp.,Humidity,Cloudiness,Wind,Date
0,Port elizabeth,ZA,-33.92,25.57,68.0,88,75,8.05,2020-10-23
1,Kodiak,US,57.79,-152.41,42.8,75,90,34.45,2020-10-23
2,Melfi,IT,41.0,15.65,46.4,100,20,9.17,2020-10-23
3,Rikitea,PF,-23.12,-134.97,74.26,78,16,6.11,2020-10-23
4,Ushuaia,AR,-54.8,-68.3,39.2,80,40,11.41,2020-10-23
5,Grand gaube,MU,-20.01,57.66,80.01,58,1,11.01,2020-10-23
6,Castro,BR,-24.79,-50.01,59.99,85,93,12.59,2020-10-23
7,Shimoda,JP,34.67,138.95,68.0,94,75,1.12,2020-10-23
8,Yellowknife,CA,62.46,-114.35,23.0,92,90,5.82,2020-10-23
9,Yulara,AU,-25.24,130.99,82.4,24,0,12.75,2020-10-23
10,Fortuna,US,40.6,-124.16,46.0,87,1,5.82,2020-10-23
11,Lompoc,US,34.64,-120.46,57.99,87,90,2.21,2020-10-23
12,Busselton,AU,-33.65,115.33,73.99,31,0,9.17,2020-10-23
13,Salym,RU,60.06,71.48,24.24,93,100,6.73,2020-10-23
14,Vaitape,PF,-16.52,-151.75,80.33,72,100,9.89,2020-10-23
15,Morgan city,US,29.7,-91.21,75.2,94,20,5.82,2020-10-23
16,Jamestown,US,42.1,-79.24,59.0,87,1,6.93,2020-10-23
17,Sorland,NO,67.67,12.69,41.0,65,40,17.22,2020-10-23
18,Pevek,RU,69.7,170.31,28.33,95,2,9.84,2020-10-23
19,Vostok,RU,46.49,135.88,25.39,100,100,11.83,2020-10-23
20,Kajaani,FI,64.23,27.73,35.6,93,90,11.41,2020-10-23
21,Port alfred,ZA,-33.59,26.89,76.42,65,60,18.21,2020-10-23
22,Nikolskoye,RU,59.7,30.79,51.8,87,90,6.71,2020-10-23
23,Mims,US,28.67,-80.84,77.0,88,20,6.93,2020-10-23
24,Katobu,ID,-4.94,122.53,88.41,59,42,0.51,2020-10-23
25,Saskylakh,RU,71.92,114.08,16.99,96,100,14.92,2020-10-23
26,Kununurra,AU,-15.77,128.73,102.2,21,1,10.29,2020-10-23
27,Bonthe,SL,7.53,-12.51,76.98,88,82,2.68,2020-10-23
28,Ponta do sol,PT,32.67,-17.1,63.0,77,40,5.82,2020-10-23
29,Ketchikan,US,55.34,-131.65,41.0,65,90,12.75,2020-10-23
30,Punta arenas,CL,-53.15,-70.92,42.8,81,0,4.7,2020-10-23
31,Avarua,CK,-21.21,-159.78,75.2,88,76,16.11,2020-10-23
32,Cape town,ZA,-33.93,18.42,68.0,82,0,4.7,2020-10-23
33,Zhigansk,RU,66.77,123.37,23.72,95,100,37.27,2020-10-23
34,Yar-sale,RU,66.83,70.83,21.07,97,94,11.1,2020-10-23
35,Qaanaaq,GL,77.48,-69.36,20.73,93,100,10.47,2020-10-23
36,Utraula,IN,27.32,82.42,88.92,37,0,7.81,2020-10-23
37,Bintulu,MY,3.17,113.03,87.8,74,40,9.17,2020-10-23
38,Hilo,US,19.73,-155.09,78.8,78,1,3.36,2020-10-23
39,Albany,US,42.6,-73.97,59.0,86,18,1.99,2020-10-23
40,Baillif,GP,16.02,-61.75,77.0,94,20,2.24,2020-10-23
41,Mananjary,MG,-21.22,48.33,76.68,68,83,5.97,2020-10-23
42,Hermanus,ZA,-34.42,19.23,68.0,79,30,1.01,2020-10-23
43,Tilichiki,RU,60.47,166.1,32.63,94,1,5.48,2020-10-23
44,Jiexiu,CN,37.02,111.91,59.23,30,0,2.33,2020-10-23
45,Khatanga,RU,71.97,102.5,4.33,93,100,12.17,2020-10-23
46,Mataura,NZ,-46.19,168.86,57.99,74,99,7.0,2020-10-23
47,Saint-philippe,RE,-21.36,55.77,80.6,57,0,18.34,2020-10-23
48,Sao paulo de olivenca,BR,-3.38,-68.87,70.93,98,100,3.31,2020-10-23
49,Rantepao,ID,-2.97,119.9,80.78,68,12,3.62,2020-10-23
50,Vaini,TO,-21.2,-175.2,73.4,78,75,9.17,2020-10-23
51,East london,ZA,-33.02,27.91,71.6,83,0,12.75,2020-10-23
52,Byron bay,AU,-28.65,153.62,77.0,69,97,18.34,2020-10-23
53,Tasiilaq,GL,65.61,-37.64,35.6,47,100,27.51,2020-10-23
54,Kapaa,US,22.08,-159.32,78.8,78,40,10.29,2020-10-23
55,Bambous virieux,MU,-20.34,57.76,80.01,57,40,14.99,2020-10-23
56,Viedma,AR,-40.81,-63.0,59.0,85,0,1.01,2020-10-23
57,Kutum,SD,14.2,24.67,79.66,16,16,18.95,2020-10-23
58,Bethel,US,41.37,-73.41,64.4,88,90,0.87,2020-10-23
59,Kungurtug,RU,50.6,97.52,49.3,44,73,0.89,2020-10-23
60,Miramar,US,25.99,-80.23,81.0,88,1,6.93,2020-10-23
61,Chuy,UY,-33.7,-53.46,61.0,94,100,10.42,2020-10-23
62,Severo-kurilsk,RU,50.68,156.12,43.95,78,100,13.31,2020-10-23
63,Vanavara,RU,60.34,102.28,34.36,85,71,12.15,2020-10-23
64,Okha,RU,53.57,142.95,44.33,88,100,7.87,2020-10-23
65,Thompson,CA,55.74,-97.86,23.0,85,40,8.05,2020-10-23
66,Arraial do cabo,BR,-22.97,-42.03,70.83,75,93,11.95,2020-10-23
67,Gimbi,ET,9.17,35.83,69.91,74,22,2.91,2020-10-23
68,Ahtopol,BG,42.1,27.95,55.4,87,0,9.17,2020-10-23
69,Meulaboh,ID,4.14,96.13,87.24,62,75,9.95,2020-10-23
70,Zlotoryja,PL,51.13,15.92,55.0,95,100,5.95,2020-10-23
71,Kulachi,PK,31.93,70.46,87.19,12,0,3.74,2020-10-23
72,Bluff,NZ,-46.6,168.33,57.99,74,98,7.0,2020-10-23
73,Ballina,AU,-28.87,153.57,77.0,69,76,18.34,2020-10-23
74,New norfolk,AU,-42.78,147.06,59.0,59,97,1.99,2020-10-23
75,Adrar,MR,20.5,-10.07,78.67,35,2,11.74,2020-10-23
76,Lebu,CL,-37.62,-73.65,45.88,87,2,7.96,2020-10-23
77,Norman wells,CA,65.28,-126.83,6.8,92,40,1.97,2020-10-23
78,Mar del plata,AR,-38.0,-57.56,55.4,100,90,11.41,2020-10-23
79,Saldanha,ZA,-33.01,17.94,59.0,87,0,14.99,2020-10-23
80,Puerto ayora,EC,-0.74,-90.35,68.0,90,100,5.01,2020-10-23
81,Samarai,PG,-10.62,150.67,81.41,81,94,11.97,2020-10-23
82,Husavik,IS,66.04,-17.34,41.0,65,20,10.29,2020-10-23
83,Todos santos,MX,23.45,-110.22,81.0,70,0,6.55,2020-10-23
84,Sao filipe,CV,14.9,-24.5,79.12,75,88,8.66,2020-10-23
85,La paz,BO,-16.5,-68.15,39.2,100,75,2.24,2020-10-23
86,Dikson,RU,73.51,80.55,19.83,95,96,7.36,2020-10-23
87,Itarema,BR,-2.92,-39.92,76.89,82,14,11.97,2020-10-23
88,Jhanjharpur,IN,26.27,86.28,88.74,50,1,3.96,2020-10-23
89,Ascope,PE,-7.71,-79.11,64.72,79,73,2.42,2020-10-23
90,Donduseni,MD,48.24,27.61,54.97,43,4,2.77,2020-10-23
91,Nemuro,JP,43.32,145.57,57.2,93,75,12.75,2020-10-23
92,Cidreira,BR,-30.18,-50.21,67.37,87,100,22.17,2020-10-23
93,Saint george,US,37.1,-113.58,62.6,18,1,12.75,2020-10-23
94,Bredasdorp,ZA,-34.53,20.04,66.2,82,57,2.24,2020-10-23
95,Hrubieszow,PL,50.8,23.89,51.42,78,93,11.05,2020-10-23
96,Opuwo,NA,-18.06,13.84,76.87,28,48,5.41,2020-10-23
97,Altay,CN,47.87,88.12,54.19,38,6,2.35,2020-10-23
98,San andres,CO,12.58,-81.7,78.8,94,75,2.24,2020-10-23
99,Zwedru,LR,6.07,-8.13,71.47,95,82,1.28,2020-10-23
100,Tiarei,PF,-17.53,-149.33,77.0,83,75,3.36,2020-10-23
101,Clyde river,CA,70.47,-68.59,15.8,78,90,4.7,2020-10-23
102,Sao joaquim,BR,-28.29,-49.93,53.85,92,97,6.51,2020-10-23
103,Longyearbyen,SJ,78.22,15.64,23.0,73,75,4.7,2020-10-23
104,Hami,CN,42.8,93.45,67.66,21,100,2.8,2020-10-23
105,Butaritari,KI,3.07,172.79,81.61,76,1,11.77,2020-10-23
106,Caravelas,BR,-17.71,-39.25,72.59,90,99,6.91,2020-10-23
107,Ambilobe,MG,-13.2,49.05,93.29,31,8,11.16,2020-10-23
108,Minab,IR,27.15,57.08,91.4,7,0,6.93,2020-10-23
109,Healesville,AU,-37.65,145.52,71.01,83,100,2.13,2020-10-23
110,Filingue,NE,14.35,3.32,83.75,15,0,7.27,2020-10-23
111,Goslar,DE,51.9,10.43,59.0,95,100,3.38,2020-10-23
112,San carlos de bariloche,AR,-41.15,-71.31,37.4,64,0,5.82,2020-10-23
113,Winnemucca,US,40.97,-117.74,33.8,34,1,6.93,2020-10-23
114,Teguldet,RU,57.31,88.17,39.31,74,100,6.96,2020-10-23
115,Beyneu,KZ,45.32,55.2,45.93,54,100,1.5,2020-10-23
116,Qaqortoq,GL,60.72,-46.03,23.0,73,100,3.36,2020-10-23
117,Lokosovo,RU,61.13,74.82,25.41,95,99,4.7,2020-10-23
118,Aanekoski,FI,62.69,25.82,39.99,100,75,10.29,2020-10-23
119,Marsa matruh,EG,31.35,27.25,68.0,68,20,5.82,2020-10-23
120,Fort nelson,CA,58.81,-122.7,19.4,73,75,3.36,2020-10-23
121,Kadoma,JP,34.73,135.58,68.0,68,75,5.82,2020-10-23
122,Sistranda,NO,63.73,8.83,37.4,86,75,4.5,2020-10-23
123,Codrington,AU,-38.27,141.97,55.78,97,100,11.59,2020-10-23
124,Tuktoyaktuk,CA,69.45,-133.04,25.65,97,100,23.58,2020-10-23
125,Cabo san lucas,MX,22.89,-109.91,80.01,81,0,11.05,2020-10-23
126,Ribeira grande,PT,38.52,-28.7,64.4,77,75,8.05,2020-10-23
127,Port hardy,CA,50.7,-127.42,41.0,93,90,17.22,2020-10-23
128,Uvat,RU,59.14,68.9,25.03,93,100,8.5,2020-10-23
129,Half moon bay,US,37.46,-122.43,57.99,87,90,5.82,2020-10-23
130,Kimbe,PG,-5.55,150.14,82.02,78,100,0.38,2020-10-23
131,Luderitz,NA,-26.65,15.16,62.06,75,16,4.32,2020-10-23
132,Salalah,OM,17.02,54.09,86.0,62,0,4.7,2020-10-23
133,Leningradskiy,RU,69.38,178.42,27.82,91,0,4.85,2020-10-23
134,Chokurdakh,RU,70.63,147.92,3.85,91,45,4.43,2020-10-23
135,Padang,ID,-0.95,100.35,86.0,65,100,4.85,2020-10-23
136,Kavieng,PG,-2.57,150.8,84.02,60,3,8.72,2020-10-23
137,Vardo,NO,70.37,31.11,37.4,86,75,38.03,2020-10-23
138,Flinders,AU,-34.58,150.86,75.0,73,35,3.0,2020-10-23
139,Dolores,AR,-36.31,-57.68,58.03,98,100,5.79,2020-10-23
140,Meadow lake,US,34.8,-106.54,60.8,15,1,4.47,2020-10-23
141,Bemidji,US,47.47,-94.88,30.0,100,90,3.36,2020-10-23
142,Mildura,AU,-34.2,142.15,64.4,93,75,10.29,2020-10-23
143,Atuona,PF,-9.8,-139.03,78.03,72,1,13.6,2020-10-23
144,Dakar,SN,14.69,-17.44,82.4,83,0,6.93,2020-10-23
145,Yeppoon,AU,-23.13,150.73,82.4,51,84,12.75,2020-10-23
146,Torbay,CA,47.67,-52.73,42.01,75,75,14.99,2020-10-23
147,Provideniya,RU,64.38,-173.3,37.4,74,75,24.61,2020-10-23
148,Vao,NC,-22.67,167.48,74.73,86,0,18.77,2020-10-23
149,Brodokalmak,RU,55.57,62.08,28.4,54,40,13.42,2020-10-23
150,Zhezkazgan,KZ,47.8,67.71,38.93,60,0,14.72,2020-10-23
151,San juan,AR,-31.54,-68.54,63.59,54,0,5.12,2020-10-23
152,Hobart,AU,-42.88,147.33,59.0,67,75,11.41,2020-10-23
153,Marsh harbour,BS,26.54,-77.06,79.38,75,0,16.53,2020-10-23
154,Wuwei,CN,37.93,102.64,57.69,31,34,5.23,2020-10-23
155,Xiongzhou,CN,25.12,114.3,73.49,38,42,14.2,2020-10-23
156,Coquimbo,CL,-29.95,-71.34,53.6,87,20,3.36,2020-10-23
157,Honiara,SB,-9.43,159.95,86.0,74,40,5.82,2020-10-23
158,Arroio grande,BR,-32.24,-53.09,62.64,94,100,6.6,2020-10-23
159,Qandala,SO,11.47,49.87,87.46,41,42,7.56,2020-10-23
160,Tigil,RU,57.8,158.67,35.13,86,0,1.05,2020-10-23
161,Lewisburg,US,35.45,-86.79,68.0,100,1,6.93,2020-10-23
162,Saint-leu,RE,-21.15,55.28,80.6,57,0,18.34,2020-10-23
163,Anadyr,RU,64.75,177.48,30.2,92,0,8.95,2020-10-23
164,The valley,AI,18.22,-63.06,82.4,83,20,6.93,2020-10-23
165,Yerbogachen,RU,61.28,108.01,40.71,79,85,15.99,2020-10-23
166,Guiyang,CN,26.58,106.72,71.6,30,0,8.95,2020-10-23
167,Irituia,BR,-1.77,-47.44,74.68,90,100,3.53,2020-10-23
168,Dayong,CN,25.02,118.29,78.8,27,0,15.66,2020-10-23
169,Barrow,US,71.29,-156.79,33.8,86,90,2.8,2020-10-23
170,Diffa,NE,13.32,12.61,87.33,19,0,14.63,2020-10-23
171,Iqaluit,CA,63.75,-68.51,28.4,86,90,7.23,2020-10-23
172,Guerrero negro,MX,27.98,-114.06,66.04,81,68,9.8,2020-10-23
173,Tharad,IN,24.4,71.63,94.03,12,0,6.33,2020-10-23
174,Teeli,RU,51.03,90.23,42.26,59,100,2.8,2020-10-23
175,Bayanday,RU,53.07,105.51,42.4,67,93,3.31,2020-10-23
176,Kabompo,ZM,-13.59,24.2,83.55,31,0,9.66,2020-10-23
177,Linhares,BR,-19.39,-40.07,69.19,91,90,6.26,2020-10-23
