,name,lat,long,max_temp,humidity,clouds,wind_speed,country,date
0,qaanaaq,77.48,-69.36,11.77,78,0,5.01,GL,1602105197
1,albany,42.6,-73.97,64.99,54,90,5.82,US,1602105140
2,otavi,-19.65,17.33,66.13,26,0,8.93,NA,1602105197
3,grand gaube,-20.01,57.66,73.99,84,15,5.01,MU,1602105198
4,busselton,-33.65,115.33,51.01,89,1,6.93,AU,1602105198
5,dalnerechensk,45.93,133.72,39.58,86,0,2.77,RU,1602105198
6,neyshabur,36.21,58.8,52.84,41,0,3.98,IR,1602105086
7,victoria,22.29,114.16,73.99,69,38,11.01,HK,1602105198
8,alice springs,-23.7,133.88,48.2,93,0,8.61,AU,1602105198
9,jamestown,42.1,-79.24,61.0,59,40,24.16,US,1602105189
10,buchanan,5.88,-10.05,78.8,94,40,7.02,LR,1602105198
11,atar,20.52,-13.05,94.62,28,1,10.98,MR,1602105198
12,vaini,-21.2,-175.2,69.8,100,90,8.05,TO,1602105199
13,salalah,17.02,54.09,77.0,78,20,2.24,OM,1602105199
14,moshenskoye,58.51,34.59,50.59,92,100,6.69,RU,1602105199
15,ixtapa,20.7,-105.2,90.0,62,5,10.29,MX,1602105199
16,kamenka,51.32,42.77,48.61,51,93,8.3,RU,1602105199
17,esperance,-33.87,121.9,51.8,62,94,5.82,AU,1602105064
18,longyearbyen,78.22,15.64,33.8,100,40,17.22,SJ,1602105199
19,heihe,50.24,127.49,28.4,92,0,2.64,CN,1602105199
20,avarua,-21.21,-159.78,80.6,61,30,18.34,CK,1602104984
21,coos bay,43.37,-124.22,61.0,87,90,5.28,US,1602105027
22,bethel,41.37,-73.41,63.0,82,80,1.01,US,1602105098
23,tasiilaq,65.61,-37.64,35.6,94,99,3.36,GL,1602105200
24,kapaa,22.08,-159.32,86.0,66,40,9.17,US,1602105200
25,lashio,22.93,97.75,65.7,98,25,1.72,MM,1602105200
26,pierre,44.37,-100.35,75.2,23,1,5.82,US,1602105016
27,caravelas,-17.71,-39.25,76.69,82,0,10.96,BR,1602104971
28,bambanglipuro,-7.95,110.28,78.01,39,86,7.05,ID,1602105200
29,adrar,20.5,-10.07,96.12,19,54,10.16,MR,1602105200
30,thompson,55.74,-97.86,35.6,64,75,11.41,CA,1602105200
31,port elizabeth,-33.92,25.57,60.8,93,40,9.17,ZA,1602105201
32,dikson,73.51,80.55,36.9,96,100,25.12,RU,1602105201
33,georgetown,5.41,100.34,77.0,100,40,2.24,MY,1602105065
34,katsuura,35.13,140.3,60.01,100,75,16.11,JP,1602105201
35,tual,-5.67,132.75,80.64,85,56,12.8,ID,1602105201
36,palmer,42.16,-72.33,68.0,52,75,18.34,US,1602105201
37,arraial do cabo,-22.97,-42.03,77.0,83,75,11.41,BR,1602105201
38,hithadhoo,-0.6,73.08,83.12,75,84,8.57,MV,1602105201
39,hushitai,41.93,123.51,50.0,87,0,6.71,CN,1602105201
40,barrow,71.29,-156.79,30.2,80,90,19.46,US,1602105202
41,ushuaia,-54.8,-68.3,42.8,64,75,14.99,AR,1602105138
42,khandwa,21.83,76.33,72.21,58,100,3.09,IN,1602105202
43,jalu,29.03,21.55,77.92,19,0,4.34,LY,1602105202
44,san patricio,28.02,-97.52,87.8,43,40,8.05,US,1602105202
